Locus	group	chr	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype	 syn_reg_ids
c1.loc100	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc101	0	1	-0.59999999	208	ENSRNOG00000018521	synhomsame	12	10	-1	3	ENSMUSG00000026237	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc103	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc104	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc104	0	1	-0.59999999	208	ENSRNOG00000021011	synhomsame	164	7	187	192	ENSMUSG00000055978	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc105	0	1	-0.59999999	208	ENSRNOG00000003476	synhomsame	152	7	77	83	ENSMUSG00000020838	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc106	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
c1.loc107	0	1	-0.59999999	208	ENSRNOG00000008428	synhomsame	152	7	77	83	ENSMUSG00000032259	ortholog_one2one	33255,33256,33257,33258,33314,33357,33358,33359,33360,33361,33362,33363,33364,33365,33366,33384,33385,33450,33451,33452,33453,33454,33455,33456,33457,33458,33459,33460,33461,33462,33463,33464,33465,33466,33467,33468,33469,33470,33471,33472,33473,33474,33475,33476,33477,33478,36259,36262,36269,36270,36271,36272,36273,36274,36275,36276,36280,36283,36284,36330,36331,36332,36333,36334,36340,36341,36342,36345,36346,36347,36348,36349,36350,36352,36392,36393,36394,36395,36396,36397,36413,36487,36493,36518,36519,36520,36521,36522,36523,36524,36525,36579,36587,36589
