Locus	chr	group	start	stop	Trait	Status	Syngroup	chr	start	end	Trait	homotype	 syn_reg_ids
c1.loc70	6	1	69	71	ENSMUSG00000074183	synhomsame	14	13	7.89999962	31.89999962	ENSRNOG00000029861	ortholog_many2many	33251,33546,33547,35681,36018
c11.loc22	21	11	21	27	ENSMUSG00000038541	synhomsame	4	10	7.80000019	16	ENSRNOG00000027042	ortholog_one2one	33275,33578,33579,35915,35919
c11.loc46	26	11	44	60	ENSMUSG00000035385	synhomsame	7	10	33.79999924	65	ENSRNOG00000007159	ortholog_one2one	33275,33276,33277,33584,33585,35775,35778,35779,35783
c11.loc52	26	11	44	60	ENSMUSG00000055170	synhomsame	7	10	33.79999924	65	ENSRNOG00000007468	ortholog_one2one	33275,33276,33277,33584,33585,35775,35778,35779,35783
c12.loc39	37	12	38	40	ENSMUSG00000055994	synhomsame	52	6	25.10000038	92	ENSRNOG00000014124	ortholog_one2one	33301
c14.loc10	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc10	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc11	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc11	50	14	3	39	ENSMUSG00000024680	synhomsame	24	16	-1	85	ENSRNOG00000020993	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc12	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc12	50	14	3	39	ENSMUSG00000066979	synhomsame	24	16	-1	85	ENSRNOG00000020643	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc21	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc22	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
c14.loc23	50	14	3	39	ENSMUSG00000024513	synhomsame	24	16	-1	85	ENSRNOG00000011853	ortholog_one2one	33332,33333,33334,33335,33336,33337,33338,33339,33340,33341,33342,33616,33617,33618,33619,33620,33621,33622,33623,33624,33625,33626,33627,33628,33629,33630,33631,33632,35698,35701,35702,35733,35734,35735,35736,35740,35741,35746,35747,35749,35750,35865,35867,35871,35925,35969
